Format Version,1.23,Take Name,badSnatch,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2022-06-06 03.38.40.418 午後,Total Frames in Take,1940,Total Exported Frames,1940,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,FHD,FHD,FHD,SHO_R,SHO_R,SHO_R,KNE_L,KNE_L,KNE_L,CHE,CHE,CHE,TOE_R,TOE_R,TOE_R,ANK_R,ANK_R,ANK_R,JAW,JAW,JAW,KNE_R,KNE_R,KNE_R,TOE_L,TOE_L,TOE_L,SHO_L,SHO_L,SHO_L,ANK_L,ANK_L,ANK_L,ASI_R,ASI_R,ASI_R,WRI_L,WRI_L,WRI_L,ELB_L,ELB_L,ELB_L,ASI_L,ASI_L,ASI_L,WRI_R,WRI_R,WRI_R,ELB_R,ELB_R,ELB_R
,ID,おでこ,おでこ,おでこ,右肩,右肩,右肩,左膝,左膝,左膝,胸骨,胸骨,胸骨,右爪先,右爪先,右爪先,右足首,右足首,右足首,あご,あご,あご,右膝,右膝,右膝,左爪先,左爪先,左爪先,左肩,左肩,左肩,左足首,左足首,左足首,右骨盤,右骨盤,右骨盤,左手首,左手首,左手首,左肘,左肘,左肘,左骨盤,左骨盤,左骨盤,右手首,右手首,右手首,右肘,右肘,右肘
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
977,8.141667,-0.412230,1.355818,0.281390,-0.174099,1.183338,0.496308,0.079701,0.464866,0.192510,-0.093578,0.971363,0.292025,0.064415,0.028595,0.454628,0.219448,0.066970,0.508524,-0.356683,1.180208,0.278116,0.049673,0.473273,0.413672,0.075820,0.030143,0.123100,-0.150754,1.172855,0.032503,0.231435,0.058988,0.087259,0.173355,0.891187,0.436439,0.104736,0.727457,-0.091365,0.023760,0.973550,-0.050078,0.177246,0.896651,0.149841,0.095085,0.704985,0.656296,0.023201,0.941764,0.617970
978,8.150000,-0.409533,1.358872,0.281296,-0.172283,1.185293,0.496434,0.078103,0.464509,0.192475,-0.093522,0.972879,0.291995,0.063709,0.028868,0.454545,0.218544,0.067588,0.508486,-0.355417,1.183314,0.277963,0.048279,0.472946,0.413921,0.075870,0.030036,0.123114,-0.148332,1.174771,0.032502,0.230983,0.059349,0.087289,0.172550,0.891099,0.436531,0.102649,0.727780,-0.091630,0.023175,0.974435,-0.050174,0.176479,0.896559,0.149895,0.092659,0.705198,0.656022,0.021805,0.942506,0.617736
979,8.158333,-0.408755,1.362175,0.281170,-0.172138,1.187725,0.496260,0.075584,0.464460,0.192466,-0.093822,0.974697,0.291954,0.064251,0.028614,0.454593,0.218876,0.067725,0.508588,-0.354774,1.186406,0.277842,0.046282,0.472700,0.414079,0.075140,0.030327,0.123089,-0.149545,1.177066,0.032377,0.231473,0.059314,0.087346,0.171049,0.891142,0.436519,0.101280,0.728088,-0.091929,0.022754,0.975342,-0.050266,0.176245,0.896420,0.149945,0.089828,0.705504,0.655658,0.019859,0.943426,0.617391
980,8.166667,-0.407902,1.365608,0.281023,-0.169613,1.189992,0.496450,0.073425,0.464157,0.192460,-0.094517,0.976683,0.291965,0.063354,0.028917,0.454495,0.217651,0.068409,0.508466,-0.354522,1.189667,0.277671,0.044144,0.472538,0.414159,0.075866,0.029980,0.123124,-0.147680,1.179263,0.032276,0.231222,0.059548,0.087426,0.170561,0.891051,0.436646,0.098720,0.728555,-0.092092,0.021818,0.976457,-0.050315,0.174878,0.896396,0.149973,0.086151,0.706076,0.655146,0.017754,0.944461,0.617057
981,8.175000,-0.405159,1.369153,0.280994,-0.169453,1.192701,0.496282,0.071140,0.463920,0.192463,-0.094987,0.978706,0.291920,0.063843,0.028689,0.454535,0.217903,0.068615,0.508520,-0.354100,1.193222,0.277485,0.041571,0.472423,0.414168,0.075641,0.030031,0.123131,-0.148046,1.181838,0.032225,0.230779,0.059929,0.087491,0.168842,0.891168,0.436640,0.095777,0.729246,-0.092329,0.021447,0.977604,-0.050444,0.175176,0.896213,0.150099,0.084366,0.706343,0.654925,0.017448,0.945456,0.616967
982,8.183333,-0.403657,1.372965,0.280888,-0.167870,1.195278,0.496325,0.068600,0.463748,0.192514,-0.095710,0.980924,0.291826,0.063484,0.028778,0.454456,0.217216,0.069177,0.508432,-0.352224,1.196917,0.277406,0.039915,0.472065,0.414265,0.075575,0.029989,0.123147,-0.145532,1.184288,0.032131,0.230924,0.060132,0.087587,0.167673,0.891193,0.436698,0.092977,0.730000,-0.092500,0.020426,0.978827,-0.050556,0.173750,0.896279,0.150149,0.080902,0.707053,0.654381,0.017555,0.946444,0.616970
983,8.191667,-0.402199,1.376915,0.280790,-0.166904,1.198225,0.496205,0.066735,0.463468,0.192602,-0.095368,0.983097,0.291918,0.063343,0.028831,0.454432,0.217209,0.069479,0.508444,-0.350318,1.200593,0.277279,0.038404,0.471702,0.414339,0.076004,0.029767,0.123170,-0.145756,1.187139,0.032065,0.230553,0.060581,0.087716,0.166073,0.891323,0.436762,0.090495,0.730695,-0.092657,0.020377,0.980161,-0.050683,0.172860,0.896294,0.150221,0.077744,0.707676,0.653902,0.017632,0.947574,0.616885
